_id,sub_category
0,Lichaamsverzorging
1,Outdoor en vrije tijd
2,Elektronica & media
3,Toilet en keuken
4,Woonaccessoires
5,Wassen en schoonmaken
6,Persoonlijke hygiene
7,Mini reisverpakkingen
8,Haarverzorging
9,Dames
10,Mondverzorging
11,Koude dranken
12,Scheren & ontharen
13,Gezichtsverzorging man
14,Gezichtsverzorging vrouw
15,Overig huishoudelijk
16,Optiek
17,Snacks en snoep
18,Make-up accessoires
19,Luiers en verschonen
20,Wondverzorging
21,Babyverzorging
22,Seksualiteit
23,Baby accessoires
24,
25,Dierverzorging
26,Geuren en geschenkset
27,Speelgoed
28,Feestartikelen
29,Heren
30,Seizoenen
31,Vitaminen en supplementen
32,Geneesmiddelen
33,Make-up
34,Babyvoeding
35,Afslanken
36,Voetverzorging
37,Tuinartikelen
38,Sportvoeding
39,Koffie en thee
40,Kleding accessoires
41,Zwangerschap
42,Boeken & tijdschriften
43,Cadeau ideeën mannen
44,Haaraccessoires
45,Kantoor benodigdheden
46,Baby's en kinderen
47,Knutselen en hobby
48,Gehoorbescherming
49,Sieraden & bijoux
50,Muziek
51,Films
52,Wonen
53,Cadeau ideeën kinderen
54,Games
