_id,sub_sub_category
0,Deodorant
1,Outdoor en vrije tijd
2,Batterijen
3,Toiletblokken
4,Luchtverfrissers
5,Kaarsen
6,Schoonmaken
7,Bodylotion en bodymilk
8,Maandverband
9,Mini deodorant en geuren
10,Conditioner
11,Bad en douche
12,Shampoo
13,Haarstyling
14,Panties en sokken
15,Mondwater & spray
16,Tandenborstels
17,Tandpasta
18,Haarkuur en haarmasker
19,Afwasmiddel
20,Wasverzachter
21,Overige dranken
22,Scheermesjes
23,Handzeep en handgel
24,Haarkleuring
25,Wasmiddel
26,Scheren
27,Dagcreme
28,Zonnebrand en aftersun
29,Overige huishoudelijke artikelen
30,Lenzen
31,Intiemverzorging
32,Reiniging
33,Snacks en snoep
34,Lipverzorging
35,Gezichtsmasker
36,Wattenschijfjes en wattenstaafjes
37,Toiletpapier en vochtige doekjes
38,Kappersproducten
39,Nagellakremovers
40,Luiers
41,Watten
42,Handcremes
43,Wondverzorging
44,Huishoudelijk textiel
45,Mondverfrissers
46,Tissues en zakdoekjes
47,Baby huidverzorging
48,Mini bad en douche
49,Mini shampoo en conditioner
50,Keukenpapier
51,Aftershave
52,Glijmiddelen en seksspeeltjes
53,Toiletreinigers
54,Make-up remover & reiniging
55,Tampons
56,Baby accessoires
57,Scheerschuim en scheergel
58,
59,Vaatwastabletten
60,Kat
61,Babydoekjes
62,Inlegkruisjes
63,Geschenksets
64,Flessen en flessenspenen
65,Speelgoed
66,Feestartikelen
67,"Babyhaartjes, bad en douche"
68,Fopspenen
69,Baby speelgoed
70,Overige dierverzorging
71,Damesgeuren
72,Creme
73,Sokken
74,Herengeuren
75,Oogcreme en serum
76,Onzuivere huid & acne
77,Woonaccessoires
78,Multivitaminen
79,Weerstand
80,Foundation & concealer
81,Botten
82,Pleisters
83,Enkelvoudige vitaminen
84,Uiterlijk
85,Ontspanning en rust
86,Overige voedingssuplementen
87,Mascara
88,Nachtcreme
89,Mini olie en lotion
90,Flesvoeding
91,Condooms
92,Supplementen
93,Blaas
94,Lenzenvloeistof
95,Haarserum
96,Kind
97,Reiniging vaatwasser
98,Voetverzorging
99,Tuinartikelen
100,Wondontsmetting
101,Luchtwegen en verkoudheid
102,Spierwrijfmiddelen
103,Kalknagels
104,Reiniging man
105,Mini haarstyling
106,Huidverzorging en koortslip
107,Vlekkenverwijderaars
108,Insectenbestrijding
109,Mama verzorging
110,Sportdranken
111,Mini tandpasta
112,"Tandenstokers, floss & ragers"
113,"Ontharingscreme, wax en hars"
114,Beeld en geluid
115,Koffie
116,Kunstgebitverzorging
117,Dames kleding
118,Hond
119,Sportartikelen
120,Incontinentie
121,Vibrators en dildo's
122,Anti-lekbekers
123,Wenkbrauwproducten
124,Chips
125,Voetschimmel
126,Media
127,Highlighters en bronzers
128,Lipstick
129,Tassen
130,Dames brillen
131,Textielverf
132,Zwangerschapstest en ovulatietest
133,Mini scheerschuim en scheergel
134,Voetdeodorant
135,Kerst
136,Boeken
137,Gewrichten
138,Hart en visolie
139,Mineralen
140,Energie
141,Gezichtsmasker man
142,Tablets en computers
143,Heren ondergoed
144,Vakantie
145,Elektrische tandenborstels
146,Haaraccessoires
147,Zwemluiers
148,Kantoor benodigdheden
149,Toilettassen
150,Pijnstillers
151,Spijsvertering
152,Nagellak
153,Lampen
154,Oogschaduw
155,Make-up accessoires
156,Stoppen met roken
157,Dames ondergoed
158,Babykleding
159,Sportvoeding
160,Verlichting
161,Knutselen en hobby
162,Lipliner
163,Blush
164,Sportverzorging
165,Luizen
166,Poeder
167,Keuken artikelen
168,Elektronica accessoires
169,Oordoppen
170,Patty Brard Collectie
171,Reisziekte
172,Aambeien
173,Homeopathisch
174,Oor en mond
175,Zwangerschapsvitamines
176,Thee
177,Lipgloss
178,Luierbroekjes en pyjamabroekjes
179,Bandages en windsels
180,Sieraden & bijoux
181,Heren accessoires
182,Dames accessoires
183,Persoonlijke verzorging
184,Man
185,Kunstnagels
186,EHBO
187,Verzorgende voetcremes
188,Koffers
189,Kinderkleding
190,Wratten
191,Cartridges
192,Foto en film
193,Huishoudelijke apparaten
194,Baby- en kinderaccessoires
195,Kinderbestek
196,Eelt en harde huid
197,Zwangerschap
198,Carnaval
199,Overige elektronika
200,Muziek
201,Halloween
202,Scheerapparaten
203,Dvd en blue-ray
204,Accessoires
205,"Schoenen, slippers en sloffen"
206,Dames nachtmode
207,Kaarten
208,Vaginale schimmel
209,Natuurlijke gezondheid
210,Leesbrillen
211,Heren brillen
212,Pasen
213,Meubels
214,Telefonie
215,Energy drank
216,Valentijn
217,Maaltijdvervangers
218,Allergieen
219,Bordspellen
220,Heren nachtmode
